Question,Topic,Subtopic,Option 1,Option 2,Option 3,Option 4,Correct Answer
"MLO Thomas received a loan application from Vince. When he read the property address for the house Vince was buying, he saw that it was his brother’s house. His brother was recently offered a job in another town and was anxious to ensure that the sales transaction wouldn’t fall through for any reason. Ethically, what must Thomas do in this situation?",Ethics,Ethical Behavior Related to Loan Origination Activities,"Because his brother is anxious to sell, Thomas should create documentation to support the buyer’s loan application.","Since Thomas has a personal interest in the transaction, he must disclose it.",Thomas should ask the underwriter as a personal favor to go easy on the buyer’s application.,Thomas should share details with his brother about what he learns from the buyer’s credit history.,0
The NMLS will look at all of the following information EXCEPT for which item when an individual applies for MLO licensure?,Uniform State Content,License Law and Regulation,Credit card bills,Outstanding judgments,Outstanding tax liens,Previous foreclosures,0
"An MLO has an established business relationship with a consumer who only submitted a loan application and who’s on the Do Not Call Registry. Related to solicitation calls, which of the following statements is true?",Ethics,Ethical Issues,The consumer may be called for up to 18 months.,The consumer may be called for up to 90 days.,The consumer may be called without restriction.,The consumer may not be called.,0
What is the purpose of the Maryland Fair Credit Reporting Act for mortgage lending?,Uniform State Content,SAFE Act,To ensure accurate credit reporting and allow borrowers to dispute inaccuracies.,To mandate regular updates of credit scores to keep borrowers informed.,To regulate the fees that lenders impose for providing credit reports.,To require lenders to offer pre-approval to all applicants.,0
A lender has an affiliated business arrangement with a title company to which it refers its borrowers. When must the lender provide consumers with an Affiliated Business Arrangement disclosure?,Federal Mortgage-Related Laws,Real Estate Settlement Procedures Act (RESPA),At the time of loan application or referral,Immediately after loan consummation occurs,Three business days before loan consummation,Upon written request from the consumer,0
An MLO’s NMLS UI must be displayed on all of the following EXCEPT for which one?,Uniform State Content,Compliance,Business cards,Loan advertisements,Loan application forms,Personal correspondence,0
"A borrower’s monthly mortgage payment is $580.23. If the taxes are $83.33 each month and the insurance is $41.66 per month, how much of the monthly payment is principal plus interest?",Mortgage Loan Origination Activities,Financial Calculations,454.34,455.24,465.24,466.34,0
Your borrowers are about to close on their first home. What will protect them from financial loss if their ownership later comes into question?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Abstract of title,Chain of title,Title insurance,Title search,0
Which entity sets the requirements for qualified mortgages?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,Consumer Financial Protection Bureau,Federal Home Loan Bank,Federal Housing Finance Agency,U.S. Congress,0
Which of these features means that a mortgage is nonqualified?,General Mortgage Knowledge,Qualified and Non-Qualified Mortgage Programs,It's less risky to the lender than a qualified mortgage.,It's the borrower's second mortgage.,The borrower's income can't be verified.,The loan term is less than 30 years.,0
Which of the following items might appear on the title commitment as a condition that must be satisfied?,Mortgage Loan Origination Activities,Closing,Disclosure of closing fees and costs,Payment of moving expenses,Payment of prior liens,Review of prorated payments to be made by buyer and seller,0
"Gabriela has sent a GFE to an applicant for a loan. She has learned that the applicant received the GFE today, but she has had no further communication with him. Is Gabriela allowed to charge the applicant a fee for an appraisal? Why or why not?",Federal Mortgage-Related Laws,Real Estate Settlement Procedures Act (RESPA),No. Extra fees may not be charged until the applicant has had three business days to review the GFE.,No. The applicant has not yet indicated that he wants to proceed with the loan.,Yes. Gabriela has been able to confirm that the loan applicant received the GFE.,"Yes. In fact, Gabriela didn’t even have to wait until the applicant received the GFE.",0
Which of the following is true regarding the Home Mortgage Disclosure Act?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,It keeps all loan applicant information secure and completely private.,"It only pertains to information about loans and lenders, not loan applicants.",It prohibits discriminatory lending.,It requires financial institutions to report demographic information about loan applicants.,0
Which one of the following options accurately reflects acceptable fees for the escrow account according to federal regulations?,Mortgage Loan Origination Activities,Closing,A servicer isn’t permitted to charge fees for escrow accounts.,A servicer is permitted to use an escrow account to hold funds due at closing and all future property expenses agreed upon by both parties. The permitted fees include 1/12 of the annual costs paid from escrow and one-sixth of the fees due as a cushion.,A servicer is permitted to use an escrow account to hold funds due at closing and all future property taxes and homeowners insurance. The permitted fees include 1/12 of the annual costs paid from escrow and one-sixth of the fees due as a cushion.,A servicer is restricted to using an escrow account to hold funds due at closing and during the fiscal year of closing. The only permitted fees are one-sixth of the fees due at closing.,0
Which one of the following statements is true about escrow account requirements?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,A borrower may choose to not have an escrow account.,Escrow accounts are maintained by the borrower after closing.,Escrow accounts are mandatory for all mortgage loans.,The lender determines if an escrow account must be established and maintained.,0
How may an MLO ensure compliance with all consumer protection laws governing his advertising?,Ethics,Ethical Issues,Hire the best advertising agency in town to handle all advertisements.,Implement an advertising review plan before his advertisements are published.,Request that the most senior person in the company develop all his ads.,Revise his advertisements based on consumer feedback.,0
How can an adjustable-rate mortgage best be described?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,"A fixed-rate loan with a lower interest rate than most loans, usually for a 15- or 30-year term",A loan obtainable by a borrower who has a lower credit score or who does not have a 20% down payment,A loan with an interest rate that adjusts based on current market rates,A temporary loan in which a borrower can tap into existing equity to use as a down payment on a new home,0
Which of the following lists characteristics that may be used by lenders when evaluating a loan application?,Federal Mortgage-Related Laws,Equal Credit Opportunity Act (ECOA),"Age, income, and net worth","Ethnicity, job stability, and credit rating","Income, net worth, job stability, and credit rating","Race, income, and job stability",0
"Qualified mortgages have a limit on upfront points and fees. Assuming a loan amount of $50,000, the points can’t exceed ______ of the total loan amount.",General Mortgage Knowledge,Terms Used in the Mortgage Industry,0.02,0.03,0.04,0.05,0
Which of the following types of loans are covered by TILA and Regulation Z?,Federal Mortgage-Related Laws,Truth in Lending Act (TILA),Agricultural loans,Commercial loans,Loans to acquire rental property,Reverse mortgages,0
What method may be used to provide a Loan Estimate to a consumer?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,All of these formats,Mail,Telephone,Text message,0
"A borrower was obtaining a conventional loan, and she put $50,000 down as a down payment. Why might her lender also require her to obtain private mortgage insurance?",General Mortgage Knowledge,Terms Used in the Mortgage Industry,"Her down payment of $50,000 isn't at least 20% of the purchase price.",Her lender is a subprime lender.,"PMI is triggered at the $50,000 down payment amount.",She has poor credit.,0
Which one of the following statements regarding HOEPA loans is true?,Federal Mortgage-Related Laws,Truth in Lending Act (TILA),HOEPA doesn't include any disclosure requirements.,HOEPA is designed to protect lenders from borrowers who have poor credit histories.,"If a loan meets the HOEPA criteria, the lender must give the borrower several disclosures at least three business days before closing on the loan.",Mortgages secured by a vacation home are subject to HOEPA coverage.,0
"You provided a LE to your borrowers, listing $1,000 as the property tax amount they’ll be expected to pay. When they receive the CD from you, the amount was $1,500. Why is that legal?",Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Only a 10% increase is allowed.,"Property taxes cannot exceed $1,000.",Property tax is a no or unlimited tolerance threshold.,Property tax may not have any kind of fee increase.,0
